id,host_id_fk,listings_group
BUT5109098604,95234359,Single-listing Hosts
HOT7047068036,95738959,2-3 listing Hosts
POP3611686864,82992848,Single-listing Hosts
OPE7123939451,89720910,2-3 listing Hosts
BAT6599028562,96654878,Single-listing Hosts
LUX9025095072,2461363,Single-listing Hosts
REU2615416086,16140282,Single-listing Hosts
VAU9139941052,94533393,Single-listing Hosts
VAU4418618304,48253188,4-9 listing Hosts
BAT0579242483,53364711,Single-listing Hosts
BUT8010943979,29030174,Single-listing Hosts
BUT3188431832,57862006,Single-listing Hosts
GOB4341867358,31116265,Single-listing Hosts
MEN8347250514,27657092,Single-listing Hosts
HOT5097449300,43790328,Single-listing Hosts
PAS2863494008,75213355,Single-listing Hosts
PAS7034533048,35728987,Single-listing Hosts
TEM0070338929,31403870,Single-listing Hosts
TEM4309860839,57338335,Single-listing Hosts
ELY5757837720,95493246,Single-listing Hosts
PAL6799199575,27243028,Single-listing Hosts
OPE6560619881,71668376,Single-listing Hosts
